long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-87.976066,41.934801,152,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.977783,41.934775,153,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.976186,41.93604,154,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.9786,41.936497,155,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.976515,41.93751,156,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.977981,41.938398,157,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.983281,41.938254,158,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.983345,41.936195,159,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.007946,41.93338,160,TRUE,6,1700243,1700243.6,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.007869,41.930159,161,TRUE,6,1700243,1700243.6,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.003621,41.931187,162,TRUE,6,1700243,1700243.6,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.004504,41.933987,163,TRUE,6,1700243,1700243.6,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.007946,41.93338,164,TRUE,6,1700243,1700243.6,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.021988,41.946611,165,TRUE,7,1700243,1700243.7,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.021978,41.946422,166,TRUE,7,1700243,1700243.7,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.018102,41.944747,167,TRUE,7,1700243,1700243.7,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.018126,41.948475,168,TRUE,7,1700243,1700243.7,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.022022,41.948359,169,TRUE,7,1700243,1700243.7,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.021988,41.946611,170,TRUE,7,1700243,1700243.7,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.988619,41.93794,171,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.988041,41.934616,172,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.986766,41.934629,173,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.986685,41.93651,174,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.985387,41.936536,175,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.986482,41.938154,176,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.984506,41.937317,177,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.985547,41.938331,178,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.98387,41.938545,179,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.98493,41.93959,180,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.988619,41.93794,181,TRUE,8,1700243,1700243.8,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.018397,41.913206,182,FALSE,9,1700243,1700243.9,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.016081,41.914983,183,FALSE,9,1700243,1700243.9,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.013562,41.91424,184,FALSE,9,1700243,1700243.9,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.015583,41.912389,185,FALSE,9,1700243,1700243.9,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.018397,41.913206,186,FALSE,9,1700243,1700243.9,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
